book_id,title,author_id,first_publish_year
OL5786185W,A treatise on the art of bread-making,OL1415075A,1805.0
OL2647121W,The art of fine baking,OL385881A,1961.0
OL1472910W,Ryzon baking book,OL155929A,1916.0
OL9392539W,Artisan bread in five minutes a day,OL3429208A,2007.0
OL8938333W,Crust,OL3091585A,2007.0
OL8559098W,What a Baker Makes,OL2869461A,2001.0
OL2932161W,Baking by Flavor,OL446948A,2002.0
OL2997911W,Making Bread at Home,OL459685A,1995.0
OL32147162W,The cook's own book,OL11666635A,1832.0
OL21657015W,A History of British Baking,OL3052445A,2020.0
OL23335182W,Baby cakes,OL1483719A,2014.0
OL23656672W,"The complete confectioner, pastry-cook, and baker",OL5224965A,1844.0
OL25740227W,Baking Bad,OL9729837A,2014.0
OL25572W,Thunder Cake,OL25990A,1990.0
OL165441W,My sister is super!,OL45570A,1996.0
OL19967142W,Bake it like you mean it,OL6568994A,2013.0
OL20006479W,Buttercream dreams,OL4976567A,2015.0
OL10871427W,Baker's book,OL4528702A,1903.0
OL1949853W,Faraway tree stories,OL233814A,1991.0
OL19706425W,Bite-sized magic,OL6964764A,2014.0
OL20214003W,Beach House Baking,OL7661164A,2014.0
OL20001991W,The art of baking blind,OL7601083A,2014.0
OL20001991W,The art of baking blind,OL345563A,2014.0
OL20155012W,Bloom,OL7512908A,2019.0
OL20155012W,Bloom,OL8080890A,2019.0
OL21061417W,Nia Bakes Cookies,OL7720728A,2013.0
OL21061417W,Nia Bakes Cookies,OL8055473A,2013.0
OL20473036W,Baking,OL7655770A,2016.0
OL20696049W,Murder at Barclay Meadow,OL3074714A,2015.0
OL21067653W,Royal Icing,OL1483719A,2014.0
OL21067653W,Royal Icing,OL7332229A,2014.0
OL20244809W,Artisan Breads,OL2837961A,2011.0
OL20010655W,Honey & Co,OL7601945A,2014.0
OL20027778W,Game of scones,OL7607752A,2015.0
OL19990307W,Ovenly,OL7598049A,2014.0
OL19961687W,Bake it in a cupcake,OL7591520A,2012.0
OL3474028W,When I Was a Little Girl,OL579132A,1989.0
OL25113356W,Handbook of Baking Science and Engineering,OL3108388A,2012.0
OL2470691W,Cookie and cracker technology,OL344225A,1968.0
OL2470693W,Bakery Technology & Engineering,OL344225A,1960.0
OL79815W,Don't Wake Up Mama!,OL28815A,1992.0
OL17399838W,Splat The Cat Takes The Cake,OL1427144A,2012.0
OL17399838W,Splat The Cat Takes The Cake,OL7414150A,2012.0
OL17063346W,Goth Girl and the Fete Worse Than Death,OL535666A,2014.0
OL1808306W,Home baking,OL216905A,2003.0
OL1808306W,Home baking,OL2757365A,2003.0
OL3469008W,The Bakers' Manual,OL578185A,1960.0
OL9430054W,Baking cakes in Kigali,OL3461330A,2009.0
OL8921495W,Baking Basics and Beyond,OL3080290A,2006.0
OL64131W,Cookie-Store Cat,OL19728A,1999.0
OL9227559W,Talking with My Mouth Full,OL3288054A,2006.0
OL8897288W,Your Brick Oven,OL3065012A,2004.0
OL6664323W,Breads of the World,OL1801018A,1977.0
OL737011W,The best of Irish breads & baking,OL59792A,1996.0
OL7161944W,Home baking recipe book,OL2043840A,1957.0
OL8549334W,Gifts From a Jar,OL2864928A,2004.0
OL9005378W,Gluten free mama's best baking recipes,OL3134087A,2007.0
OL9005378W,Gluten free mama's best baking recipes,OL3134088A,2007.0
OL9741991W,Advanced Bread and Pastry,OL3733114A,2008.0
OL2756130W,How to bake,OL404584A,1995.0
OL2977762W,Baking,OL455565A,2006.0
OL2645517W,The birthday cake book,OL385604A,2008.0
OL26312201W,"Complete Confectioner, Pastry-Cook, and Baker",OL9922250A,2013.0
OL2705773W,Chocolate,OL395598A,1997.0
OL3354744W,Old-fashioned baking book,OL544826A,1987.0
OL3348716W,The Best of Baking,OL543494A,1979.0
OL3484086W,Grandma's Wartime Baking Book,OL581363A,2003.0
OL451666W,Warthogs in the kitchen,OL25472A,1998.0
OL4459956W,"Take a nap, Harry",OL888947A,1964.0
OL4569190W,Muffins Galore,OL925940A,2006.0
OL4569216W,The ultimate cookie book,OL925940A,2003.0
OL4654476W,Baking science & technology,OL956650A,1952.0
OL4816093W,A treatise on baking,OL1015391A,1927.0
OL4274932W,"Biscuits, spoonbread, and sweet potato pie",OL828630A,1990.0
OL5920230W,Sourdough Cookery,OL1462472A,1977.0
OL21547121W,Bakery Products Science and Technology,OL8241648A,2014.0
OL21547121W,Bakery Products Science and Technology,OL949149A,2014.0
OL22641573W,Winner bakes all,OL1483719A,2013.0
OL21581108W,The Magnolia Bakery cookbook,OL2762200A,1999.0
OL21581108W,The Magnolia Bakery cookbook,OL1431232A,1999.0
OL24301091W,Sugar and spice,OL1483719A,2015.0
OL23299219W,Icing on the cake,OL1483719A,2013.0
OL21649319W,Baking Without Sugar,OL3148095A,2018.0
OL1933456W,The gluten-free gourmet bakes bread,OL231941A,1999.0
OL17769963W,A catered Christmas cookie exchange,OL1391503A,2013.0
OL1857790W,McGraw's Emporium,OL222413A,1995.0
OL15680028W,Zombie Cupcakes,OL6890205A,2010.0
OL15473324W,Miette,OL6847952A,2011.0
OL15138112W,Doris Christopher's stoneware sensations,OL1434569A,1997.0
OL13654063W,The Hummingbird Bakery Cookbook,OL6510018A,2009.0
OL11748644W,SEFER HA-AFIYAH,OL4994688A,1981.0
OL14911474W,Cookie,OL19365A,2009.0
OL15378324W,The Happy Baker,OL6828384A,2010.0
OL17875151W,Macarons at midnight,OL7407649A,2015.0
OL17875151W,Macarons at midnight,OL2660071A,2015.0
OL17890148W,Tartine,OL7614523A,2006.0
OL17890148W,Tartine,OL2833453A,2006.0
OL17890148W,Tartine,OL2833465A,2006.0
OL17890148W,Tartine,OL530475A,2006.0
OL19997486W,Bears and a birthday,OL1655231A,2015.0
OL19976463W,A lighter way to bake,OL7234724A,2013.0
OL121002W,One hungry cat,OL19116A,1997.0
OL10871429W,Perfection in baking,OL4528702A,1895.0
OL20040113W,One more slice,OL6613382A,2011.0
OL20233542W,Birthdays and Biscuits,OL246851A,2015.0
OL19993621W,A baker's field guide to cupcakes,OL385604A,2010.0
OL20158558W,The Mermaid Cookbook,OL7534171A,2019.0
OL20047531W,The great British bake off,OL395598A,2014.0
OL21040838W,Bake Me I'm Yours... Cupcake Fun,OL5349031A,2012.0
OL20984427W,Cupcakes and contests,OL246851A,2015.0
OL20341870W,Baking and Pastry,OL2731057A,2009.0
OL20351488W,Trinity Falls,OL7369828A,2013.0
OL21047711W,Pink Whisk Guide to Cake Making,OL7298985A,2013.0
OL20401692W,Vintage Cakes,OL5049024A,2012.0
OL20027741W,Baking with whole grains,OL7607734A,2014.0
OL3460957W,Colette's wedding cakes,OL576581A,1994.0
OL3469007W,The bakers' manual for quantity baking and pastry making,OL578185A,1962.0
OL2665469W,"Can't Catch Me, I'm the Gingerbread Man",OL388756A,1981.0
OL24194822W,Mug cakes,OL9098780A,2014.0
OL24066426W,Amelia Bedelia Takes the Cake,OL238790A,2016.0
OL2470687W,Ingredients for bakers,OL344225A,1987.0
OL24734294W,The Official Harry Potter Baking Book,OL589508A,2021.0
OL26310984W,Baker's Guide,OL9921869A,2013.0
OL6447950W,Cooking with wholegrains,OL1710109A,1947.0
OL8196905W,Great Gluten-Free Baking,OL2727500A,2007.0
OL7668018W,Home baked,OL2361147A,1956.0
OL16503064W,Basic Baking,OL888772A,1973.0
OL18254685W,Bakery products,OL949149A,2006.0
OL18254685W,Bakery products,OL2840947A,2006.0
OL1814695W,Sun Bread,OL217652A,2001.0
OL14926509W,How to make a cherry pie and see the U.S.A,OL24564A,2008.0
OL1925014W,Beard on bread,OL230778A,1973.0
OL3746072W,Pretty Cakes,OL657755A,1986.0
OL3746072W,Pretty Cakes,OL545880A,1986.0
OL20022736W,Baker's magic,OL837296A,2016.0
OL5598701W,A world of baking,OL1347902A,1968.0
OL4652506W,Danish home baking,OL956221A,1960.0
OL2908136W,Visions of sugarplums,OL443041A,1968.0
OL8805466W,The Taste of Home Baking Book,OL3007575A,2007.0
OL9045068W,"Technology of biscuits, crackers and cookies",OL3159537A,1991.0
OL8921494W,Gluten-Free Baking Classics,OL3080289A,2006.0
OL8587839W,The King Arthur Flour Baker's Companion,OL2884305A,2003.0
OL7285164W,The practice and science of bread-making,OL2133905A,1934.0
OL5907476W,Cakes and biscuits,OL1458357A,1891.0
OL61447W,The best mouse cookie,OL2629701A,1999.0
OL8750340W,Home baking with chocolate,OL2976825A,1991.0
OL8881501W,Global baker,OL3054789A,2007.0
OL8494562W,Small-Batch Baking,OL2838115A,2004.0
OL8494562W,Small-Batch Baking,OL391570A,2004.0
OL9843002W,Controlled Baking,OL3826991A,1995.0
OL2940086W,Irish Baking Book,OL448368A,1995.0
OL2973058W,Pastry magic,OL454652A,1993.0
OL27360828W,Pillsbury Best of the Bake-Off Casseroles,OL2730616A,2012.0
OL2732125W,Ben makes a cake,OL400224A,1987.0
OL3002337W,The allergy baker,OL460632A,1980.0
OL3031272W,The modern flour confectioner,OL467672A,1891.0
OL21122201W,Biscuit Baking Technology,OL3131557A,2016.0
OL20941852W,The baking life of Amelie Day,OL1480047A,2014.0
OL21115532W,Cook and Baker,OL8082438A,2015.0
OL21115532W,Cook and Baker,OL8082439A,2015.0
OL29026445W,Professional Bread Baking,OL10744576A,2016.0
OL29026445W,Professional Bread Baking,OL2731057A,2016.0
OL29026445W,Professional Bread Baking,OL10744577A,2016.0
OL28990643W,Professional Bakeshop,OL7739076A,2012.0
OL29070558W,Rose's Heavenly Baking,OL237164A,2013.0
OL28383551W,Let's Bake Thanksgiving Treats!,OL7488117A,2017.0
OL25361654W,Baking Cakes in Kigali,OL3461330A,2009.0
OL2769746W,Baking for Dummies,OL407538A,2002.0
OL2714708W,Country Baking,OL397163A,1990.0
OL2737124W,A Treasury of Jewish Holiday Baking,OL401199A,1998.0
OL2699233W,"Great Coffee Cakes, Sticky Buns, Muffins & More",OL394513A,2007.0
OL4013313W,Breadmaking at Home,OL740813A,1995.0
OL3746180W,Everybody Bakes Bread,OL657788A,1996.0
OL4080350W,My first baking book,OL764009A,1991.0
OL4091295W,Bread,OL766292A,1989.0
OL3366593W,The Weekend Baker,OL547761A,2004.0
OL32147660W,"Seventy-five receipts for pastry, cakes and sweetmeats",OL183694A,1834.0
OL3235621W,"Flicka, Ricka, Dicka bake a cake",OL527273A,1955.0
OL32184637W,100 prize-winning recipes,OL4587500A,1953.0
OL37144871W,Good things to eat,OL6879017A,1935.0
OL37226619W,The bread and biscuit baker's and sugar-boiler's assistant,OL467672A,1913.0
OL4701941W,"The complete bread, cake and cracker baker",OL973615A,1881.0
OL5841747W,American Culinary Federation baking fundamentals,OL1432903A,2006.0
OL5841747W,American Culinary Federation baking fundamentals,OL2652396A,2006.0
OL5841747W,American Culinary Federation baking fundamentals,OL2652343A,2006.0
OL5591889W,The new book of favorite breads from Rose Lane Farm,OL1345652A,1970.0
OL5090565W,Judy Gorman's Breads of New England,OL1120215A,1958.0
OL5225550W,Le pastissier françois,OL1171969A,1655.0
OL5194858W,Domestic economy,OL1159980A,1830.0
OL4283726W,Baking for all occasions,OL830913A,2008.0
OL42394444W,Advanced Art of Baking and Pastry,OL14989602A,2024.0
OL42394444W,Advanced Art of Baking and Pastry,OL14989603A,2024.0
OL6034496W,The church ladies' divine desserts,OL1517043A,2001.0
OL21239166W,Baking Cakes in Kigali,OL3461330A,2009.0
OL21360875W,Creative Baking,OL7524669A,2016.0
OL21517467W,Art of Making Gelato,OL8233441A,2015.0
OL21500167W,Passion for Baking,OL7978405A,2012.0
OL1950659W,From a baker's kitchen,OL233924A,1984.0
OL19715428W,Have your cake and eat it,OL2879202A,2017.0
OL19723651W,Artisan sourdough made simple,OL7527338A,2017.0
OL19723690W,How to cake it,OL7527358A,2017.0
OL23181773W,Blake the baker,OL7609249A,2014.0
OL21202552W,Half Baked Idea,OL8119554A,2019.0
OL21571820W,Virtuous Tart,OL7527375A,2015.0
OL1888398W,The essential baker,OL226106A,2006.0
OL18994886W,Advances in baking technology,OL549456A,1992.0
OL18698348W,Gifts from a jar,OL6822137A,2004.0
OL1835476W,Gorgeous Cakes,OL219785A,2005.0
OL17448753W,Honeybuns Glutenfree Baking,OL7317060A,2012.0
OL17404781W,The Pocket Bakery,OL1448777A,2013.0
OL17117192W,A cookie before dying,OL6888637A,2011.0
OL18703575W,Bob's Red Mill baking book,OL226770A,2006.0
OL18703575W,Bob's Red Mill baking book,OL2843424A,2006.0
OL15626669W,Tiberius and the chocolate cake,OL6742847A,2010.0
OL15673650W,Cake pops,OL6889169A,2010.0
OL15673650W,Cake pops,OL7324989A,2010.0
OL15529868W,Lion House bakery,OL6761706A,2009.0
OL15851775W,I can be a baker,OL27069A,1986.0
OL15829475W,The biggest cookie in the world,OL34706A,1989.0
OL15151665W,Select Editions--Volume 4 2003,OL9083681A,2003.0
OL17488346W,How To Start A Homebased Bakery Business,OL7328709A,2011.0
OL17873095W,Cupcakes,OL6890206A,2008.0
OL17927522W,Cakes & Cake Decorating,OL2760918A,2011.0
OL17927522W,Cakes & Cake Decorating,OL2865149A,2011.0
OL17927522W,Cakes & Cake Decorating,OL490518A,2011.0
OL17927721W,The summer kitchen,OL6504874A,2009.0
OL17915122W,Fortune cookie fiasco,OL7413698A,2015.0
OL19980649W,Eat more dessert,OL7595736A,2014.0
OL19998535W,Baking with less sugar,OL7390603A,2015.0
OL19745519W,Comfort,OL3757608A,2017.0
OL12559515W,The art and soul of baking,OL5578035A,2008.0
OL13721139W,Confections of a closet master baker,OL6568994A,2009.0
OL13712934W,Jian yi kao xiang shi pu,OL6562744A,1997.0
OL14934807W,Tips For Better Baking,OL2644353A,2009.0
OL14870615W,Pillsbury: Best of the Bake-Off Cookbook,OL24780A,1996.0
OL19763182W,Tiana's winter treats,OL7324882A,2018.0
OL19752171W,Twist,OL7540076A,2016.0
OL19975306W,Josey Baker bread,OL7594404A,2014.0
OL19996443W,Cupcake envy,OL7599638A,2015.0
OL20180639W,From No-knead to Sourdough,OL7594289A,2018.0
OL20005568W,Pat-a-cake baby,OL55212A,2015.0
OL20005568W,Pat-a-cake baby,OL1517167A,2015.0
OL20056303W,Sally’s Baking Addiction,OL7531805A,2014.0
OL19984320W,Pie school,OL7594231A,2014.0
OL20047529W,Golden,OL7601945A,2016.0
OL20444192W,Land O'Lakes Cookie Collection,OL6822858A,1990.0
OL21208068W,Annie Bell's Baking Bible,OL219785A,2013.0
OL20342319W,Handmade Gifts from the Kitchen,OL3292414A,2014.0
OL20433538W,Baking Recipes & Home Remedies From The Time of the War For American Independence,OL697831A,2011.0
OL20322344W,Delicious Baking for Diabetics,OL7668333A,2014.0
OL20471797W,Baking,OL7723609A,2011.0
OL20023478W,Patisserie made simple,OL7331813A,2014.0
OL20032463W,Cake magic!,OL7608982A,2016.0
OL20027758W,Deceptive desserts,OL3324915A,2016.0
OL20000960W,Gluten-free flour power,OL6839638A,2015.0
OL19737630W,Sweet revenge,OL5077820A,2018.0
OL19754771W,Baking all year round,OL7541255A,2018.0
OL3376000W,Too Many Eggs,OL550251A,1988.0
OL28386739W,Let's Bake St. Patrick's Day Treats!,OL7488117A,2017.0
OL32388666W,Shared,OL1479719A,2015.0
OL3258087W,Chocolate from the Cake Mix Doctor,OL530902A,2001.0
OL32224687W,Domashnee prigotovlenie,OL11686234A,1968.0
OL2668986W,Basic Baking,OL389344A,2000.0
OL2632609W,Castor bakar,OL383581A,1996.0
OL26495910W,Crave,OL7540076A,2017.0
OL25381162W,How to Bake a Cake,OL24300A,2015.0
OL24269473W,How to Cook That,OL9131995A,2021.0
OL2628657W,My chocolate year,OL382963A,2008.0
OL2648236W,Baked Alaska,OL386075A,1997.0
OL26350038W,Gingerbread Wonderland,OL9098780A,2015.0
OL8025295W,Patisserie,OL2673339A,1994.0
OL707868W,Scottish Regional Recipes,OL56240A,1981.0
OL7040435W,Andy Pandy and the gingerbread man,OL1973869A,1968.0
OL7046331W,The technology of cake making,OL1976538A,1973.0
OL6217232W,The Road to Blue Ribbon Baking,OL1605395A,2007.0
OL8256006W,Mix  &  Bake,OL2747340A,2008.0
OL8196241W,Vegetarian cooking,OL2727355A,1986.0
OL8301951W,Nestle Toll House Recipe Collection,OL2758019A,1988.0
OL8013145W,What Shall I Cook,OL2667474A,1996.0
OL5962360W,The Handmade Loaf,OL1479719A,2008.0
OL5957236W,"Count to ten, Piggywiggy!",OL1477892A,2001.0
OL5957236W,"Count to ten, Piggywiggy!",OL3099987A,2001.0
OL17535641W,Mastering The Art Of Baking,OL3146682A,2012.0
OL17560553W,The Fabulous Baker Brothers,OL2974360A,2012.0
OL17071716W,A Spoonful of secrets,OL246851A,2014.0
OL17414032W,The Cake Mix Doctor Bakes Glutenfree,OL530902A,2010.0
OL15030485W,Betty Crocker's Baking classics,OL27838A,1981.0
OL15365481W,The Kosher Baker,OL6847848A,2010.0
OL15425661W,The Red Hen,OL35864A,2010.0
OL15633607W,Baking,OL4768254A,2009.0
OL15633607W,Baking,OL387380A,2009.0
OL16512020W,Simply Good Bread,OL7081637A,2009.0
OL16470801W,Cutie pies,OL7068344A,2011.0
OL16471680W,The everything pie cookbook,OL7065705A,2011.0
OL16589208W,The unofficial hunger games cookbook,OL7108064A,2011.0
OL16606948W,Gluten-free and vegan holidays,OL6645087A,2011.0
OL165437W,My grandma is great!,OL45570A,1996.0
OL16654195W,Jewish fairy tale feasts,OL18722A,2012.0
OL16654195W,Jewish fairy tale feasts,OL7903260A,2012.0
OL16654195W,Jewish fairy tale feasts,OL2630623A,2012.0
OL16654195W,Jewish fairy tale feasts,OL7331732A,2012.0
OL17711661W,Trick or deadly treat,OL237029A,2014.0
OL17711661W,Trick or deadly treat,OL2725974A,2014.0
OL17893354W,The flying brownie,OL7416949A,2013.0
OL17892822W,America's favorites,OL6822137A,2005.0
OL18155668W,Cook-a-doodle-doo!,OL219602A,2002.0
OL16522961W,The art of German cooking and baking,OL4515073A,1922.0
OL2635261W,Bread,OL383975A,1988.0
OL2635261W,Bread,OL383844A,1988.0
OL4987171W,My First Baking Book,OL1078360A,1988.0
OL21909926W,Summer Showers,OL2967622A,2015.0
OL21909926W,Summer Showers,OL7836699A,2015.0
OL184787W,The Wine and Food Society's guide to bakery,OL2102345A,1968.0
OL16176642W,Pie,OL19616A,2011.0
OL11955428W,Bread baking,OL5142930A,2009.0
OL5753943W,1 Teig - 50 Kuchen,OL1399894A,2002.0
OL2714709W,Home for the Holidays,OL397163A,1992.0
OL16240549W,Illustrated step-by-step baking,OL6995960A,2011.0
OL6278652W,Let's cook with yeast,OL1637897A,1963.0
OL15860869W,The sugarless baking book,OL1460363A,1979.0
OL39524973W,The Horsford cook book,OL12048376A,1876.0
OL9346296W,The Student's Technology of Breadmaking and Flour Confectionery,OL3391201A,1983.0
OL9153293W,Patrick's Perfect Pancake,OL3231997A,1990.0
OL8964333W,Good Housekeeping Great Baking,OL3109730A,2003.0
OL8921493W,Gluten-free baking classics for the bread machine,OL3080289A,2009.0
OL8930378W,Teach the bairns to bake,OL3086862A,1996.0
OL8982330W,Baked,OL3119569A,2008.0
OL6362548W,"The mixer, hand mixer, and blender cookbook",OL1668262A,1954.0
OL6342239W,"Decorating cakes and party foods, baking too!",OL1659193A,1969.0
OL8723282W,"The no-salt, lowest-sodium baking book",OL2958725A,2003.0
OL8369843W,"Breakfast, Lunch, Tea",OL2787867A,2006.0
OL8596701W,The bread book,OL2888150A,1987.0
OL9239192W,Tate's Bake Shop Cookbook,OL3297158A,2005.0
OL9239221W,Bread and yeast,OL3297187A,1994.0
OL9239221W,Bread and yeast,OL3480089A,1994.0
OL9219197W,Bakin' Without Eggs,OL3281417A,1999.0
OL9239987W,Liḳrat ḥalah,OL3297875A,2005.0
OL9239987W,Liḳrat ḥalah,OL3297876A,2005.0
OL6618050W,The Brownie Cook Book,OL1779176A,1993.0
OL6606338W,How to have fun baking cookies and cakes,OL1776152A,1973.0
OL6606338W,How to have fun baking cookies and cakes,OL2938988A,1973.0
OL6738016W,The English bread book,OL1825930A,1857.0
OL6578488W,I can bake cookies,OL1764753A,1979.0
OL6766155W,Das neue Kiehnle Backbuch,OL1841424A,1974.0
OL7367989W,Tekhnologicheskoe oborudovanie khlebozavodov,OL2192874A,1954.0
OL734797W,Convection oven cookery,OL59505A,1993.0
OL7301389W,Baking and cooking at high altitudes,OL2142399A,1969.0
OL5870400W,The Complete Baking Cookbook,OL1444726A,2007.0
OL7766787W,A thorough practical course in scientific baking,OL2433419A,1924.0
OL8549251W,Gifts from a Jar: Year-Round Treats,OL2864928A,2005.0
OL8549390W,Easy-to-Bake Recipes (Favorite Brand Name),OL2864951A,2002.0
OL83647W,Hello Kitty,OL2659856A,2005.0
OL8312017W,Buttercup Bakes at Home,OL2762200A,2006.0
OL874171W,Baking without fat,OL76562A,1994.0
OL8750336W,Quick & easy cakes,OL2976825A,1993.0
OL8699768W,Creative Cakes Anyone Can Make,OL2944208A,2007.0
OL8723577W,Baking Illustrated,OL2958921A,2004.0
OL9533865W,The Sweet Melissa Baking Book,OL3538701A,2008.0
OL9876817W,Small Cakes,OL3859763A,2008.0
OL9736750W,Hudson Cream Flour Recipes Volume 1,OL3728022A,2000.0
OL9815135W,Claire and the Bakery Thief (Claire),OL3799313A,2008.0
OL2973056W,Simple Home Baking,OL454652A,2005.0
OL27420556W,Baking in America,OL10079326A,2002.0
OL273371W,The Baker's Dozen Cookbook,OL2629055A,2001.0
OL2932162W,Baking for gift-giving,OL446948A,1993.0
OL2953920W,Recipes from the Old Mill,OL450863A,1995.0
OL29346348W,"Staff of Life, the Bread",OL7491141A,2008.0
OL29404012W,Baking with Melanie Andrews,OL10859958A,2017.0
OL29422753W,Gottlieb's Bakery,OL2960800A,2011.0
OL21095349W,Pop Bakery,OL7306869A,2014.0
OL21095502W,Fabulous Gluten-Free Baking,OL7707807A,2015.0
OL21096034W,Honey and Jam,OL8072657A,2015.0
OL21150743W,Soulful Baker,OL2958831A,2017.0
OL21150743W,Soulful Baker,OL3948132A,2017.0
OL21075302W,Pastry Love,OL7390603A,2019.0
OL21122454W,Essential Home-Ground Flour Book,OL3820794A,2016.0
OL21063700W,John Whaite Bakes at Home,OL7790874A,2014.0
OL21053134W,Paul Hollywood's Bread,OL2837909A,2013.0
OL21086625W,Baking,OL727759A,2015.0
OL21086625W,Baking,OL432189A,2015.0
OL21077462W,Best Dump Cakes Ever,OL3116199A,2014.0
OL21153911W,Baking School,OL7713871A,2017.0
OL21153911W,Baking School,OL8101974A,2017.0
OL21153911W,Baking School,OL6830155A,2017.0
OL20940485W,The royal bake off,OL7415419A,2015.0
OL21063020W,Gail's Artisan Bakery Cookbook,OL8056431A,2014.0
