book_id,title,author_id,first_publish_year,author_name
OL24978286W,Questions and answers,OL7215935A,1929.0,United States. Department of Agriculture. Radio Service
OL2455829W,How to Be a Domestic Goddess,OL341077A,2000.0,Nigella Lawson
OL79817W,Five Little Monkeys Bake a Birthday Cake,OL28815A,2004.0,Eileen Christelow
OL15269345W,Amelia Bedelia's First Apple Pie,OL238790A,2010.0,Herman Parish
OL15269345W,Amelia Bedelia's First Apple Pie,OL8035529A,2010.0,Lynne Avril
OL15269345W,Amelia Bedelia's First Apple Pie,OL8595774A,2010.0,Angela Goethals
OL15632802W,BakingStyle,OL446948A,2011.0,Lisa Yockelson
OL16484392W,The Butch Bakery cookbook,OL7071477A,2011.0,David Arrick
OL19987417W,How to bake a book,OL1425597A,2014.0,Ella Burfoot
OL5786185W,A treatise on the art of bread-making,OL1415075A,1805.0,A. Edlin
OL2647121W,The art of fine baking,OL385881A,1961.0,Paula Peck
OL1472910W,Ryzon baking book,OL155929A,1916.0,Marion Harris Neil
OL9392539W,Artisan bread in five minutes a day,OL3429208A,2007.0,Jeff Hertzberg
OL8938333W,Crust,OL3091585A,2007.0,Richard Bertinet
OL8559098W,What a Baker Makes,OL2869461A,2001.0,Sharon McConnell
OL2932161W,Baking by Flavor,OL446948A,2002.0,Lisa Yockelson
OL2997911W,Making Bread at Home,OL459685A,1995.0,Tom Jaine
OL32147162W,The cook's own book,OL11666635A,1832.0,"Lee, N. K. M. Mrs"
OL21657015W,A History of British Baking,OL3052445A,2020.0,Emma Kay
OL23335182W,Baby cakes,OL1483719A,2014.0,Sheryl Berk
OL23656672W,"The complete confectioner, pastry-cook, and baker",OL5224965A,1844.0,Eleanor Parkinson
OL25740227W,Baking Bad,OL9729837A,2014.0,Walter Wheat
OL25572W,Thunder Cake,OL25990A,1990.0,Patricia Polacco
OL165441W,My sister is super!,OL45570A,1996.0,Hannah Roche
OL19967142W,Bake it like you mean it,OL6568994A,2013.0,Gesine Bullock-Prado
OL20006479W,Buttercream dreams,OL4976567A,2015.0,Jeff Martin
OL10871427W,Baker's book,OL4528702A,1903.0,Emil Braun
OL1949853W,Faraway tree stories,OL233814A,1991.0,Enid Blyton
OL19706425W,Bite-sized magic,OL6964764A,2014.0,Kathryn Littlewood
OL20214003W,Beach House Baking,OL7661164A,2014.0,Lei Shishak
OL20001991W,The art of baking blind,OL7601083A,2014.0,Sarah Vaughan
OL20001991W,The art of baking blind,OL345563A,2014.0,Sarah Vaughan
OL20155012W,Bloom,OL7512908A,2019.0,Kevin Panetta
OL20155012W,Bloom,OL8080890A,2019.0,Savanna Ganucheau
OL21061417W,Nia Bakes Cookies,OL7720728A,2013.0,Sara E. Hoffmann
OL21061417W,Nia Bakes Cookies,OL8055473A,2013.0,Katie Strange
OL20473036W,Baking,OL7655770A,2016.0,Katie Marshall
OL20696049W,Murder at Barclay Meadow,OL3074714A,2015.0,Wendy Sand Eckel
OL21067653W,Royal Icing,OL1483719A,2014.0,Sheryl Berk
OL21067653W,Royal Icing,OL7332229A,2014.0,Carrie Berk
OL20244809W,Artisan Breads,OL2837961A,2011.0,Jan Hedh
OL20010655W,Honey & Co,OL7601945A,2014.0,Sarit Packer
OL20027778W,Game of scones,OL7607752A,2015.0,Jammy Lannister
OL19990307W,Ovenly,OL7598049A,2014.0,Agatha Kulaga
OL19961687W,Bake it in a cupcake,OL7591520A,2012.0,Megan Seling
OL3474028W,When I Was a Little Girl,OL579132A,1989.0,Rachna Gilmore
OL25113356W,Handbook of Baking Science and Engineering,OL3108388A,2012.0,Michele Marcotte
OL2470691W,Cookie and cracker technology,OL344225A,1968.0,Samuel A. Matz
OL2470693W,Bakery Technology & Engineering,OL344225A,1960.0,Samuel A. Matz
OL79815W,Don't Wake Up Mama!,OL28815A,1992.0,Eileen Christelow
OL17399838W,Splat The Cat Takes The Cake,OL1427144A,2012.0,Rob Scotton
OL17399838W,Splat The Cat Takes The Cake,OL7414150A,2012.0,Amy Hsu Lin
OL17063346W,Goth Girl and the Fete Worse Than Death,OL535666A,2014.0,Chris Riddell
OL1808306W,Home baking,OL216905A,2003.0,Jeffrey Alford
OL1808306W,Home baking,OL2757365A,2003.0,Naomi Duguid
OL3469008W,The Bakers' Manual,OL578185A,1960.0,Joseph Amendola
OL9430054W,Baking cakes in Kigali,OL3461330A,2009.0,Gaile Parkin
OL8921495W,Baking Basics and Beyond,OL3080290A,2006.0,Pat Sinclair
OL64131W,Cookie-Store Cat,OL19728A,1999.0,Cynthia Rylant
OL9227559W,Talking with My Mouth Full,OL3288054A,2006.0,Bonny Wolf
OL8897288W,Your Brick Oven,OL3065012A,2004.0,Russell Jeavons
OL6664323W,Breads of the World,OL1801018A,1977.0,Mariana Honig
OL737011W,The best of Irish breads & baking,OL59792A,1996.0,Georgina Campbell
OL7161944W,Home baking recipe book,OL2043840A,1957.0,Ivan Baker
OL8549334W,Gifts From a Jar,OL2864928A,2004.0,Publications International
OL9005378W,Gluten free mama's best baking recipes,OL3134087A,2007.0,Rachel Carlyle-Gauthier
OL9005378W,Gluten free mama's best baking recipes,OL3134088A,2007.0,Billie McCrea
OL9741991W,Advanced Bread and Pastry,OL3733114A,2008.0,Michel Suas
OL2756130W,How to bake,OL404584A,1995.0,Nick Malgieri
OL2977762W,Baking,OL455565A,2006.0,Dorie Greenspan
OL2645517W,The birthday cake book,OL385604A,2008.0,Dede Wilson
OL26312201W,"Complete Confectioner, Pastry-Cook, and Baker",OL9922250A,2013.0,Parkinson Eleanor
OL2705773W,Chocolate,OL395598A,1997.0,Linda Collister
OL3354744W,Old-fashioned baking book,OL544826A,1987.0,Jim Fobel
OL3348716W,The Best of Baking,OL543494A,1979.0,Annette Wolter
OL3484086W,Grandma's Wartime Baking Book,OL581363A,2003.0,Joanne Lamb Hayes
OL451666W,Warthogs in the kitchen,OL25472A,1998.0,Pamela Duncan Edwards
OL4459956W,"Take a nap, Harry",OL888947A,1964.0,Mary Chalmers
OL4569190W,Muffins Galore,OL925940A,2006.0,Catherine Atkinson
OL4569216W,The ultimate cookie book,OL925940A,2003.0,Catherine Atkinson
OL4654476W,Baking science & technology,OL956650A,1952.0,E. J. Pyler
OL4816093W,A treatise on baking,OL1015391A,1927.0,Julius Emil Wihlfahrt
OL4274932W,"Biscuits, spoonbread, and sweet potato pie",OL828630A,1990.0,Bill Neal
OL5920230W,Sourdough Cookery,OL1462472A,1977.0,Rita Davenport
OL21547121W,Bakery Products Science and Technology,OL8241648A,2014.0,Weibiao Zhou
OL21547121W,Bakery Products Science and Technology,OL949149A,2014.0,Y. H. Hui
OL22641573W,Winner bakes all,OL1483719A,2013.0,Sheryl Berk
OL21581108W,The Magnolia Bakery cookbook,OL2762200A,1999.0,Jennifer Appel
OL21581108W,The Magnolia Bakery cookbook,OL1431232A,1999.0,Allysa Torey
OL24301091W,Sugar and spice,OL1483719A,2015.0,Sheryl Berk
OL23299219W,Icing on the cake,OL1483719A,2013.0,Sheryl Berk
OL21649319W,Baking Without Sugar,OL3148095A,2018.0,Sophie Michell
OL1933456W,The gluten-free gourmet bakes bread,OL231941A,1999.0,Bette Hagman
OL17769963W,A catered Christmas cookie exchange,OL1391503A,2013.0,Isis Crawford
OL1857790W,McGraw's Emporium,OL222413A,1995.0,Jim Aylesworth
OL15680028W,Zombie Cupcakes,OL6890205A,2010.0,Zilly Rosen
OL15473324W,Miette,OL6847952A,2011.0,Meg Ray
OL15138112W,Doris Christopher's stoneware sensations,OL1434569A,1997.0,Doris Christopher
OL13654063W,The Hummingbird Bakery Cookbook,OL6510018A,2009.0,Tarek Malouf
OL11748644W,SEFER HA-AFIYAH,OL4994688A,1981.0,Tamar Cohen
OL14911474W,Cookie,OL19365A,2009.0,Jacqueline Wilson
OL15378324W,The Happy Baker,OL6828384A,2010.0,Erin Bolger
OL17875151W,Macarons at midnight,OL7407649A,2015.0,Suzanne Nelson
OL17875151W,Macarons at midnight,OL2660071A,2015.0,Suzanne Nelson
OL17890148W,Tartine,OL7614523A,2006.0,Elisabeth M. Prueitt
OL17890148W,Tartine,OL2833453A,2006.0,Chad Robertson
OL17890148W,Tartine,OL2833465A,2006.0,France Ruffenach
OL17890148W,Tartine,OL530475A,2006.0,Alice Waters
OL19997486W,Bears and a birthday,OL1655231A,2015.0,Shirley Parenteau
OL19976463W,A lighter way to bake,OL7234724A,2013.0,Lorraine Pascale
OL121002W,One hungry cat,OL19116A,1997.0,Joanne Rocklin
OL10871429W,Perfection in baking,OL4528702A,1895.0,Emil Braun
OL20040113W,One more slice,OL6613382A,2011.0,Leila Lindholm
OL20233542W,Birthdays and Biscuits,OL246851A,2015.0,Linda Chapman
OL19993621W,A baker's field guide to cupcakes,OL385604A,2010.0,Dede Wilson
OL20158558W,The Mermaid Cookbook,OL7534171A,2019.0,Alix Carey
OL20047531W,The great British bake off,OL395598A,2014.0,Linda Collister
OL21040838W,Bake Me I'm Yours... Cupcake Fun,OL5349031A,2012.0,Carolyn White
OL20984427W,Cupcakes and contests,OL246851A,2015.0,Linda Chapman
OL20341870W,Baking and Pastry,OL2731057A,2009.0,The Culinary Institute of America (CIA)
OL20351488W,Trinity Falls,OL7369828A,2013.0,Regina Hart
OL21047711W,Pink Whisk Guide to Cake Making,OL7298985A,2013.0,Ruth Clemens
OL20401692W,Vintage Cakes,OL5049024A,2012.0,Jane Brocket
OL20027741W,Baking with whole grains,OL7607734A,2014.0,Valerie Baer
OL3460957W,Colette's wedding cakes,OL576581A,1994.0,Colette Peters
OL3469007W,The bakers' manual for quantity baking and pastry making,OL578185A,1962.0,Joseph Amendola
OL2665469W,"Can't Catch Me, I'm the Gingerbread Man",OL388756A,1981.0,Jamie Gilson
OL24194822W,Mug cakes,OL9098780A,2014.0,Mima Sinclair
OL24066426W,Amelia Bedelia Takes the Cake,OL238790A,2016.0,Herman Parish
OL2470687W,Ingredients for bakers,OL344225A,1987.0,Samuel A. Matz
OL24734294W,The Official Harry Potter Baking Book,OL589508A,2021.0,Joanna Farrow
OL26310984W,Baker's Guide,OL9921869A,2013.0,Weild John
OL6447950W,Cooking with wholegrains,OL1710109A,1947.0,Ellen Orton
OL8196905W,Great Gluten-Free Baking,OL2727500A,2007.0,Louise Blair
OL7668018W,Home baked,OL2361147A,1956.0,George Scurfield
OL16503064W,Basic Baking,OL888772A,1973.0,Janet Johnston
OL18254685W,Bakery products,OL949149A,2006.0,Y. H. Hui
OL18254685W,Bakery products,OL2840947A,2006.0,Harold Corke
OL1814695W,Sun Bread,OL217652A,2001.0,Elisa Kleven
OL14926509W,How to make a cherry pie and see the U.S.A,OL24564A,2008.0,Marjorie Priceman
OL1925014W,Beard on bread,OL230778A,1973.0,James Beard
OL3746072W,Pretty Cakes,OL657755A,1986.0,Mary Goodbody
OL3746072W,Pretty Cakes,OL545880A,1986.0,Jane Stacey
OL20022736W,Baker's magic,OL837296A,2016.0,Diane Zahler
OL5598701W,A world of baking,OL1347902A,1968.0,Dolores Casella
OL4652506W,Danish home baking,OL956221A,1960.0,Karen Berg
OL2908136W,Visions of sugarplums,OL443041A,1968.0,Mimi Sheraton
OL8805466W,The Taste of Home Baking Book,OL3007575A,2007.0,Janet Briggs
OL9045068W,"Technology of biscuits, crackers and cookies",OL3159537A,1991.0,Duncan Manley
OL8921494W,Gluten-Free Baking Classics,OL3080289A,2006.0,Annalise G. Roberts
OL8587839W,The King Arthur Flour Baker's Companion,OL2884305A,2003.0,King Arthur Flour
OL7285164W,The practice and science of bread-making,OL2133905A,1934.0,D. W. Kent-Jones
OL5907476W,Cakes and biscuits,OL1458357A,1891.0,Frederick Davies
OL61447W,The best mouse cookie,OL2629701A,1999.0,Laura Joffe Numeroff
OL8750340W,Home baking with chocolate,OL2976825A,1991.0,Mary Ford
OL8881501W,Global baker,OL3054789A,2007.0,Dean Brettschneider
OL8494562W,Small-Batch Baking,OL2838115A,2004.0,Debby Maugans Nakos
OL8494562W,Small-Batch Baking,OL391570A,2004.0,Debbie Maugans Nakos
OL9843002W,Controlled Baking,OL3826991A,1995.0,Wulf T. Doerry
OL2940086W,Irish Baking Book,OL448368A,1995.0,Ruth Isabel Ross
OL2973058W,Pastry magic,OL454652A,1993.0,Carol Pastor
OL27360828W,Pillsbury Best of the Bake-Off Casseroles,OL2730616A,2012.0,Pillsbury Editors
OL2732125W,Ben makes a cake,OL400224A,1987.0,Verna Wilkins
OL3002337W,The allergy baker,OL460632A,1980.0,Carol Rudoff
OL3031272W,The modern flour confectioner,OL467672A,1891.0,Robert Wells
OL21122201W,Biscuit Baking Technology,OL3131557A,2016.0,Iain Davidson
OL20941852W,The baking life of Amelie Day,OL1480047A,2014.0,Vanessa Curtis
OL21115532W,Cook and Baker,OL8082438A,2015.0,Cherie Bevan
OL21115532W,Cook and Baker,OL8082439A,2015.0,Tass Tauroa
OL29026445W,Professional Bread Baking,OL10744576A,2016.0,Hans Welker
OL29026445W,Professional Bread Baking,OL2731057A,2016.0,The Culinary Institute of America (CIA)
OL29026445W,Professional Bread Baking,OL10744577A,2016.0,Lee Ann Adams
OL28990643W,Professional Bakeshop,OL7739076A,2012.0,Wayne Gisslen
OL29070558W,Rose's Heavenly Baking,OL237164A,2013.0,Rose Levy Beranbaum
OL28383551W,Let's Bake Thanksgiving Treats!,OL7488117A,2017.0,Ruth Owen
OL25361654W,Baking Cakes in Kigali,OL3461330A,2009.0,Gaile Parkin
OL2769746W,Baking for Dummies,OL407538A,2002.0,Emily Nolan
OL2714708W,Country Baking,OL397163A,1990.0,Ken Haedrich
OL2737124W,A Treasury of Jewish Holiday Baking,OL401199A,1998.0,Marcy Goldman
OL2699233W,"Great Coffee Cakes, Sticky Buns, Muffins & More",OL394513A,2007.0,Carole Walter
OL4013313W,Breadmaking at Home,OL740813A,1995.0,Harold Bagust
OL3746180W,Everybody Bakes Bread,OL657788A,1996.0,Norah Dooley
OL4080350W,My first baking book,OL764009A,1991.0,Helen Drew
OL4091295W,Bread,OL766292A,1989.0,Judith Baskerville
OL3366593W,The Weekend Baker,OL547761A,2004.0,Abigail Johnson Dodge
OL32147660W,"Seventy-five receipts for pastry, cakes and sweetmeats",OL183694A,1834.0,Eliza Leslie
OL3235621W,"Flicka, Ricka, Dicka bake a cake",OL527273A,1955.0,Maj Lindman
OL32184637W,100 prize-winning recipes,OL4587500A,1953.0,"Pillsbury Mills, Inc"
OL37144871W,Good things to eat,OL6879017A,1935.0,Martha Lee Anderson
OL37226619W,The bread and biscuit baker's and sugar-boiler's assistant,OL467672A,1913.0,Robert Wells
OL4701941W,"The complete bread, cake and cracker baker",OL973615A,1881.0,J. Thompson Gill
OL5841747W,American Culinary Federation baking fundamentals,OL1432903A,2006.0,Noble Masi
OL5841747W,American Culinary Federation baking fundamentals,OL2652396A,2006.0,Culinary Fed American Culinary Federation The
OL5841747W,American Culinary Federation baking fundamentals,OL2652343A,2006.0,Brenda R. Carlos
OL5591889W,The new book of favorite breads from Rose Lane Farm,OL1345652A,1970.0,Ada Lou Roberts
OL5090565W,Judy Gorman's Breads of New England,OL1120215A,1958.0,Judy Gorman
OL5225550W,Le pastissier françois,OL1171969A,1655.0,François Pierre de La Varenne
OL5194858W,Domestic economy,OL1159980A,1830.0,Michael Donovan
OL4283726W,Baking for all occasions,OL830913A,2008.0,Flo Braker
OL42394444W,Advanced Art of Baking and Pastry,OL14989602A,2024.0,R. Andrew Chlebana
OL42394444W,Advanced Art of Baking and Pastry,OL14989603A,2024.0,Susan Notter
OL6034496W,The church ladies' divine desserts,OL1517043A,2001.0,Brenda Rhodes Miller
OL21239166W,Baking Cakes in Kigali,OL3461330A,2009.0,Gaile Parkin
OL21360875W,Creative Baking,OL7524669A,2016.0,Susanne Ng
OL21517467W,Art of Making Gelato,OL8233441A,2015.0,Morgan Morano
OL21500167W,Passion for Baking,OL7978405A,2012.0,Jo Wheatley
OL1950659W,From a baker's kitchen,OL233924A,1984.0,Gail Sher
OL19715428W,Have your cake and eat it,OL2879202A,2017.0,Mich Turner
OL19723651W,Artisan sourdough made simple,OL7527338A,2017.0,Emilie Raffa
OL19723690W,How to cake it,OL7527358A,2017.0,Yolanda Gampp
OL23181773W,Blake the baker,OL7609249A,2014.0,Ada Quinlivan
OL21202552W,Half Baked Idea,OL8119554A,2019.0,Olivia Potts
OL21571820W,Virtuous Tart,OL7527375A,2015.0,Susan Jane White
OL1888398W,The essential baker,OL226106A,2006.0,Carole Bloom
OL18994886W,Advances in baking technology,OL549456A,1992.0,Clyde E. Stauffer
OL18698348W,Gifts from a jar,OL6822137A,2004.0,"Publications International, Ltd"
OL1835476W,Gorgeous Cakes,OL219785A,2005.0,Annie Bell
OL17448753W,Honeybuns Glutenfree Baking,OL7317060A,2012.0,Emma Goss-Custard
OL17404781W,The Pocket Bakery,OL1448777A,2013.0,Rose Prince
OL17117192W,A cookie before dying,OL6888637A,2011.0,Virginia Lowell
OL18703575W,Bob's Red Mill baking book,OL226770A,2006.0,John Ettinger
OL18703575W,Bob's Red Mill baking book,OL2843424A,2006.0,Bob's Red Mill Family
OL15626669W,Tiberius and the chocolate cake,OL6742847A,2010.0,Keith Harvey
OL15673650W,Cake pops,OL6889169A,2010.0,Bakerella
OL15673650W,Cake pops,OL7324989A,2010.0,Angie Dudley
OL15529868W,Lion House bakery,OL6761706A,2009.0,Brenda Hopkin
OL15851775W,I can be a baker,OL27069A,1986.0,Dee Lillegard
OL15829475W,The biggest cookie in the world,OL34706A,1989.0,Linda Hayward
OL15151665W,Select Editions--Volume 4 2003,OL9083681A,2003.0,Laura E. Kelly
OL17488346W,How To Start A Homebased Bakery Business,OL7328709A,2011.0,Detra Denay Davis
OL17873095W,Cupcakes,OL6890206A,2008.0,Shelly Kaldunski
OL17927522W,Cakes & Cake Decorating,OL2760918A,2011.0,Angela Nilsen
OL17927522W,Cakes & Cake Decorating,OL2865149A,2011.0,Sarah Maxwell
OL17927522W,Cakes & Cake Decorating,OL490518A,2011.0,Janice Murfitt
OL17927721W,The summer kitchen,OL6504874A,2009.0,Karen Weinreb
OL17915122W,Fortune cookie fiasco,OL7413698A,2015.0,Ruby Ann Phillips
OL19980649W,Eat more dessert,OL7595736A,2014.0,Jenny Keller
OL19998535W,Baking with less sugar,OL7390603A,2015.0,Joanne Chang
OL19745519W,Comfort,OL3757608A,2017.0,Candice Brown
OL12559515W,The art and soul of baking,OL5578035A,2008.0,Cindy Mushet
OL13721139W,Confections of a closet master baker,OL6568994A,2009.0,Gesine Bullock-Prado
OL13712934W,Jian yi kao xiang shi pu,OL6562744A,1997.0,Shuying Liang
OL14934807W,Tips For Better Baking,OL2644353A,2009.0,Lucy Young
OL14870615W,Pillsbury: Best of the Bake-Off Cookbook,OL24780A,1996.0,Pillsbury Company.
OL19763182W,Tiana's winter treats,OL7324882A,2018.0,Ruth Homberg
OL19752171W,Twist,OL7540076A,2016.0,Martha Collison
OL19975306W,Josey Baker bread,OL7594404A,2014.0,Josey Baker
OL19996443W,Cupcake envy,OL7599638A,2015.0,Amy Eilert
OL20180639W,From No-knead to Sourdough,OL7594289A,2018.0,Victoria Redhed Miller
OL20005568W,Pat-a-cake baby,OL55212A,2015.0,Joyce Dunbar
OL20005568W,Pat-a-cake baby,OL1517167A,2015.0,Polly Dunbar
OL20056303W,Sally’s Baking Addiction,OL7531805A,2014.0,Sally McKenney
OL19984320W,Pie school,OL7594231A,2014.0,Kate Lebo
OL20047529W,Golden,OL7601945A,2016.0,Sarit Packer
OL20444192W,Land O'Lakes Cookie Collection,OL6822858A,1990.0,"Land O'Lakes, Inc"
OL21208068W,Annie Bell's Baking Bible,OL219785A,2013.0,Annie Bell
OL20342319W,Handmade Gifts from the Kitchen,OL3292414A,2014.0,Alison Walker
OL20433538W,Baking Recipes & Home Remedies From The Time of the War For American Independence,OL697831A,2011.0,Robert W. Pelton
OL20322344W,Delicious Baking for Diabetics,OL7668333A,2014.0,Angelika Kirchmaier
OL20471797W,Baking,OL7723609A,2011.0,Martha Day
OL20023478W,Patisserie made simple,OL7331813A,2014.0,Edd Kimber
OL20032463W,Cake magic!,OL7608982A,2016.0,Caroline Wright
OL20027758W,Deceptive desserts,OL3324915A,2016.0,Christine McConnell
OL20000960W,Gluten-free flour power,OL6839638A,2015.0,Aki Kamozawa
OL19737630W,Sweet revenge,OL5077820A,2018.0,Heather Kim
OL19754771W,Baking all year round,OL7541255A,2018.0,Rosanna Pansino
OL3376000W,Too Many Eggs,OL550251A,1988.0,M. Christina Butler
OL28386739W,Let's Bake St. Patrick's Day Treats!,OL7488117A,2017.0,Ruth Owen
OL32388666W,Shared,OL1479719A,2015.0,Dan Lepard
OL3258087W,Chocolate from the Cake Mix Doctor,OL530902A,2001.0,Anne Byrn
OL32224687W,Domashnee prigotovlenie,OL11686234A,1968.0,R.P. Kengis
OL2668986W,Basic Baking,OL389344A,2000.0,Lora Brody
OL2632609W,Castor bakar,OL383581A,1996.0,Lars Klinting
OL26495910W,Crave,OL7540076A,2017.0,Martha Collison
OL25381162W,How to Bake a Cake,OL24300A,2015.0,Anastasia Suen
OL24269473W,How to Cook That,OL9131995A,2021.0,Ann Reardon
OL2628657W,My chocolate year,OL382963A,2008.0,Charlotte Herman
OL2648236W,Baked Alaska,OL386075A,1997.0,Sarah Eppenbach
OL26350038W,Gingerbread Wonderland,OL9098780A,2015.0,Mima Sinclair
OL8025295W,Patisserie,OL2673339A,1994.0,Aaron Maree
OL707868W,Scottish Regional Recipes,OL56240A,1981.0,Catherine Brown
OL7040435W,Andy Pandy and the gingerbread man,OL1973869A,1968.0,Maria Bird
OL7046331W,The technology of cake making,OL1976538A,1973.0,E. B. Bennion
OL6217232W,The Road to Blue Ribbon Baking,OL1605395A,2007.0,Marjorie Johnson
OL8256006W,Mix  &  Bake,OL2747340A,2008.0,Belinda Jeffery
OL8196241W,Vegetarian cooking,OL2727355A,1986.0,Carole Handslip
