author_id,name
OL6828384A,Erin Bolger
OL7407649A,Suzanne Nelson
OL2660071A,Suzanne Nelson
OL7614523A,Elisabeth M. Prueitt
OL2833453A,Chad Robertson
OL2833465A,France Ruffenach
OL530475A,Alice Waters
OL1655231A,Shirley Parenteau
OL7234724A,Lorraine Pascale
OL19116A,Joanne Rocklin
OL6613382A,Leila Lindholm
OL246851A,Linda Chapman
OL7534171A,Alix Carey
OL5349031A,Carolyn White
OL2731057A,The Culinary Institute of America (CIA)
OL7369828A,Regina Hart
OL7298985A,Ruth Clemens
OL5049024A,Jane Brocket
OL7607734A,Valerie Baer
OL576581A,Colette Peters
OL388756A,Jamie Gilson
OL9098780A,Mima Sinclair
OL589508A,Joanna Farrow
OL9921869A,Weild John
OL1710109A,Ellen Orton
OL2727500A,Louise Blair
OL2361147A,George Scurfield
OL888772A,Janet Johnston
OL2840947A,Harold Corke
OL217652A,Elisa Kleven
OL24564A,Marjorie Priceman
OL230778A,James Beard
OL657755A,Mary Goodbody
OL545880A,Jane Stacey
OL837296A,Diane Zahler
OL1347902A,Dolores Casella
OL956221A,Karen Berg
OL443041A,Mimi Sheraton
OL3007575A,Janet Briggs
OL3159537A,Duncan Manley
OL3080289A,Annalise G. Roberts
OL2884305A,King Arthur Flour
OL2133905A,D. W. Kent-Jones
OL1458357A,Frederick Davies
OL2629701A,Laura Joffe Numeroff
OL2976825A,Mary Ford
OL3054789A,Dean Brettschneider
OL2838115A,Debby Maugans Nakos
OL391570A,Debbie Maugans Nakos
OL3826991A,Wulf T. Doerry
OL448368A,Ruth Isabel Ross
OL454652A,Carol Pastor
OL2730616A,Pillsbury Editors
OL400224A,Verna Wilkins
OL460632A,Carol Rudoff
OL467672A,Robert Wells
OL3131557A,Iain Davidson
OL1480047A,Vanessa Curtis
OL8082438A,Cherie Bevan
OL8082439A,Tass Tauroa
OL10744576A,Hans Welker
OL10744577A,Lee Ann Adams
OL237164A,Rose Levy Beranbaum
OL7488117A,Ruth Owen
OL407538A,Emily Nolan
OL397163A,Ken Haedrich
OL401199A,Marcy Goldman
OL394513A,Carole Walter
OL740813A,Harold Bagust
OL657788A,Norah Dooley
OL764009A,Helen Drew
OL766292A,Judith Baskerville
OL547761A,Abigail Johnson Dodge
OL527273A,Maj Lindman
OL4587500A,"Pillsbury Mills, Inc"
OL6879017A,Martha Lee Anderson
OL973615A,J. Thompson Gill
OL1432903A,Noble Masi
OL2652396A,Culinary Fed American Culinary Federation The
OL2652343A,Brenda R. Carlos
OL1345652A,Ada Lou Roberts
OL1120215A,Judy Gorman
OL1171969A,François Pierre de La Varenne
OL1159980A,Michael Donovan
OL14989602A,R. Andrew Chlebana
OL14989603A,Susan Notter
OL1517043A,Brenda Rhodes Miller
OL7524669A,Susanne Ng
OL8233441A,Morgan Morano
OL7978405A,Jo Wheatley
OL233924A,Gail Sher
OL2879202A,Mich Turner
OL7527338A,Emilie Raffa
OL7527358A,Yolanda Gampp
OL7609249A,Ada Quinlivan
OL8119554A,Olivia Potts
OL7527375A,Susan Jane White
OL226106A,Carole Bloom
OL549456A,Clyde E. Stauffer
OL6822137A,"Publications International, Ltd"
OL219785A,Annie Bell
OL7317060A,Emma Goss-Custard
OL1448777A,Rose Prince
OL6888637A,Virginia Lowell
OL226770A,John Ettinger
OL2843424A,Bob's Red Mill Family
OL6742847A,Keith Harvey
OL6889169A,Bakerella
OL7324989A,Angie Dudley
OL6761706A,Brenda Hopkin
OL27069A,Dee Lillegard
OL34706A,Linda Hayward
OL9083681A,Laura E. Kelly
OL7328709A,Detra Denay Davis
OL6890206A,Shelly Kaldunski
OL2760918A,Angela Nilsen
OL2865149A,Sarah Maxwell
OL490518A,Janice Murfitt
OL6504874A,Karen Weinreb
OL7413698A,Ruby Ann Phillips
OL7595736A,Jenny Keller
OL7390603A,Joanne Chang
OL3757608A,Candice Brown
OL5578035A,Cindy Mushet
OL6562744A,Shuying Liang
OL2644353A,Lucy Young
OL24780A,Pillsbury Company.
OL7324882A,Ruth Homberg
OL7540076A,Martha Collison
OL7594404A,Josey Baker
OL7599638A,Amy Eilert
OL7594289A,Victoria Redhed Miller
OL55212A,Joyce Dunbar
OL1517167A,Polly Dunbar
OL7531805A,Sally McKenney
OL7594231A,Kate Lebo
OL6822858A,"Land O'Lakes, Inc"
OL3292414A,Alison Walker
OL697831A,Robert W. Pelton
OL7668333A,Angelika Kirchmaier
OL7723609A,Martha Day
OL7331813A,Edd Kimber
OL7608982A,Caroline Wright
OL3324915A,Christine McConnell
OL6839638A,Aki Kamozawa
OL5077820A,Heather Kim
OL7541255A,Rosanna Pansino
OL550251A,M. Christina Butler
OL530902A,Anne Byrn
OL11686234A,R.P. Kengis
OL389344A,Lora Brody
OL383581A,Lars Klinting
OL24300A,Anastasia Suen
OL9131995A,Ann Reardon
OL382963A,Charlotte Herman
OL386075A,Sarah Eppenbach
OL2673339A,Aaron Maree
OL56240A,Catherine Brown
OL1973869A,Maria Bird
OL1976538A,E. B. Bennion
OL1605395A,Marjorie Johnson
OL2747340A,Belinda Jeffery
OL2727355A,Carole Handslip
OL2758019A,Nestle
OL2667474A,Ray Gibson
OL1477892A,Christyan Fox
OL3099987A,Diane Fox
OL3146682A,Anneka Manning
OL2974360A,Tom Herbert
OL27838A,Betty Crocker
OL6847848A,Paula Shoyer
OL35864A,Rebecca Emberley
OL4768254A,James Peterson
OL387380A,James Peterson
OL7081637A,Peter Sidwell
OL7068344A,Dani Cone
OL7065705A,Kelly Jaggers
OL7108064A,Emily Ansara Baines
OL6645087A,Jennifer Katzinger
OL18722A,Jane Yolen
OL7903260A,A12 Heidi E. Y.
OL2630623A,Heidi E. Y. Stemple
OL7331732A,Sima Elizabeth Shefrin
OL237029A,L. J. Washburn
OL2725974A,Livia J. Washburn
OL7416949A,Shirley Fan
OL219602A,Janet Stevens
OL4515073A,Lina Wachtelborn Meier
OL383975A,Beth Hensperger
OL383844A,Chuck Williams
OL1078360A,Rena Coyle
OL2967622A,Kate Hannigan
OL7836699A,Brooke Boynton Hughes
OL2102345A,Maria Floris
OL19616A,Sarah Weeks
OL5142930A,Daniel T. DiMuzio
OL1399894A,Gina Greifenstein
OL6995960A,Caroline Bretherton
OL1637897A,Patty Fisher
OL1460363A,Patricia Mayo
OL12048376A,Rumford Chemical Works
OL3391201A,W. J. Fance
OL3231997A,Caroline Crossland
OL3109730A,From the Editors of Good Housekeeping
OL3086862A,Liz Ashworth
OL3119569A,Matt Lewis
OL1668262A,Culinary Arts Institute.
OL1659193A,Louise Spencer
OL2958725A,Donald A. Gazzaniga
OL2787867A,Rose Carrarini
OL2888150A,Audrey Ellison
OL3297158A,Kathleen King
OL3297187A,Mike Wheeler
OL3480089A,Dave Byrne
OL3281417A,Rosemarie Emro
OL3297875A,Shira Wiener
OL3297876A,Ayelet Yifrach
OL1779176A,Myra Street
OL1776152A,"Creative Educational Society (Mankato, Minn.)"
OL2938988A,Creative Educational Society
OL1825930A,Eliza Acton
OL1764753A,Judith Wolman
OL1841424A,Hilde Graff-Hädecke
OL2192874A,Nikolaĭ Vladimirovich Zaĭt͡sev
OL59505A,Christie Katona
OL2142399A,Emma W. Rice
OL1444726A,George Geary
OL2433419A,Edward W. Habermaas
OL2864951A,Ltd. Publications International
OL2659856A,Ellen Weiss
OL76562A,George Mateljan
OL2944208A,Jill Foster
OL2958921A,Editors of Cook's Illustrated Magazine
OL3538701A,Melissa Murphy
OL3859763A,Roger Pizey
OL3728022A,Elaine Brensing Wolf
OL3799313A,Janice Poon
OL10079326A,Greg Patent
OL2629055A,The Baker's Dozen
OL450863A,Sarah E. Myers
OL7491141A,Nigella Lawson
OL10859958A,Melanie Andrews
OL2960800A,Isser Gottlieb
OL7306869A,Clare O'Connell
OL7707807A,Smilla Luuk
OL8072657A,Hannah Queen
OL2958831A,Julie Jones
OL3948132A,Lisa Linder
OL3820794A,Sue Becker
OL7790874A,John Whaite
OL3116199A,Monica Sweeney
OL7713871A,Justin Gellatly
OL8101974A,Louise Gellatly
OL6830155A,Matthew Jones
OL7415419A,Clémentine Beauvais
OL8056431A,GAIL'S Staff
OL8056432A,Roy Levy
OL8056433A,Gail Mejia
OL8100887A,Cenk Sonmezsoy
OL2727325A,Carole Clements
OL8091657A,Nicola Senior
OL383875A,Jane Pettigrew
OL9926301A,Editors of Bake Magazine Editors
OL441061A,Phil Kettle
OL3014644A,Leslie Kettle
OL1709577A,Margaret Fulton
OL7296710A,Better Homes & Gardens
OL8054381A,Culinary Institute of America (CIA) Staff
OL3109732A,Susan Westmoreland
OL7603926A,Christine Honders
OL7303243A,Zoe Clark
OL10601901A,Rosanne Hewitt-Cromwell
OL9403771A,Fleishmann Co
OL219304A,Lauren Chattman
OL2630351A,Megan Brenn-white
OL1001969A,Linda Fraser
OL154981A,Mrs. Beeton
OL6947839A,Gerard Baker
OL3795500A,Oliver Peyton
OL10217590A,Lottie Bedlow
OL7590370A,Claire Gosse
OL9590329A,Brad Gosse
OL13377088A,General Foods Corporation. Consumer Service Department
OL2485124A,Hilary Biller
OL3858741A,Jenny Kay
OL13889868A,Elinor Storkey
OL13661953A,Henry Awayan
OL2756297A,David Horspool
OL13237487A,Dan Langan
OL7023218A,King Arthur Flour (Firm)
OL748979A,L. J. Hanneman
OL768071A,Barbara Methven
OL606837A,Elbie Lebrecht
OL9328005A,Paul Hollywood
OL586030A,Olga Bravo
OL586372A,Sheila Gore
OL7602601A,Samantha Seneviratne
OL3361568A,Julian Day
OL619063A,Carol Watson
OL12722671A,IBÁN YARZA
OL506123A,Linda Smith
OL11658874A,Thomas Mills & Brother
OL534378A,Murray Jaffe
OL11662294A,Olive C. Daniell
OL530274A,Caroline Liddell
OL526273A,Mäni Niall
OL592040A,Elizabeth MacLeod
OL1193679A,Kathleen Pohl
OL1429485A,Gail Sokol
OL1387685A,David Michael Slater
OL1320255A,Walther Adrian
OL1429979A,Bernice Kohn Hunt
OL841162A,Prudence Hilburn
OL945778A,Sara Mansfield Taber
OL984823A,Giuseppi Rudmani
OL1123509A,David Munn
OL1393321A,Judith Ryan Hendricks
OL1328841A,"Nakagawa, Rieko."
OL1389661A,Maxine Clark
OL1030781A,Janette Marshall
OL1172834A,Mathew Malzbender
OL1172921A,Paul Richards
OL33399A,JoAnna M. Lund
OL1235757A,Diana Scesny Greene
OL18520A,United States. Army. Quartermaster Corps.
OL838069A,Beatrice Trum Hunter
OL833716A,Franco Galli
OL848929A,Doris Gundersen Eikenbery
OL2448317A,Royal Baking Powder Company
OL2462920A,Sarah Hughes
OL8366727A,Joyce Klynstra
OL8366728A,Laura Klynstra
OL51602A,"Jones, Lloyd"
OL8260332A,Rochel Lieberman
OL7488828A,Claire Belton
OL8368515A,Jason Schreiber
OL8235522A,Cathryn Dresser
OL3197276A,Stork
OL7442965A,Rachel Hollis
OL8368326A,Bobbie Lloyd
OL8650045A,Lisa Huff
OL7320290A,Lorna Brash
OL7492564A,Poh Ling Yeow
OL7131508A,Elinoʻar Rabin
OL4996300A,Danit Salomon
OL8237742A,Renato Poliafito
OL421756A,Brian Kennedy
OL232427A,Jo Packham
OL2747371A,Larousse
OL561409A,Claus Meyer
OL8225531A,Kathryn Anible
OL8611890A,Lisa Flodin
OL8611891A,Camilla Perez
OL8611892A,Charlie Drevstam
OL8367870A,Lauren Ko
OL6769374A,Amy Ackelsberg
OL43344A,Tish Rabe
OL725844A,Tom Brannon
OL7528639A,Ruby Tandoh
OL234252A,David Melling
OL7306332A,Linda Andersson
OL2843448A,Jude Blereau
OL7599641A,Mariann Andersson
OL239441A,Dan Andreasen
OL7068676A,Lori Rice
OL122047A,William Alexander undifferentiated
OL456135A,Kathy Gunst
OL2833111A,Katherine Alford
OL7956780A,Bernadette Gee
OL7531981A,Andris Lagsdin
OL7531999A,Dini Kodippili
OL2736999A,Linda Civitello
OL6619911A,Jim Lahey
OL7527352A,Erin Jeanne McDowell
OL575849A,Alice Medrich
OL2892200A,Theo Heras
OL2691879A,J. M. V. Blanshard
OL3677752A,P. J. Frazier
OL331844A,"Curran, Colleen"
OL7293156A,Holly Farrell
OL7068557A,Jason Ingram
OL1452170A,Daisy Meadows
OL32893A,Nicola Moon
OL8235180A,Phillippa Grogan
OL8067886A,Richard Cornish
OL8032496A,Mark Chew
OL7518998A,Stephanie Alexander
OL7757380A,Mimi Council
OL8264899A,Kimmy Fasani
OL6881250A,Todd Knaster
OL3109768A,Dominique DeVito
OL6881290A,Fiona Cairns
OL7674001A,Aimee Twigger
OL7667009A,Henrietta Inman
OL2680611A,Serpil Sahin
OL227325A,Judith C. Sutton
OL231035A,Judy Delton
OL230004A,Sally Sampson
OL6787762A,Jane Hornby
OL6854470A,"Nestlé USA, Inc"
OL1458877A,Time-Life Books
OL232513A,Sara Perry
OL229836A,Joan Nathan
OL8771272A,Ayelet Hirshman
OL222404A,James Villas
OL62087A,Margaret Nash
OL218266A,Karen Magnuson Beil
OL8446191A,Amy Glander
OL1100226A,Susan Mills
OL3035601A,Diana Shara
OL7350683A,Peggy Porchsen
OL7334618A,Kim Laidlaw
OL32072A,Dandi Daley Mackall
OL6822503A,Richard Cowdrey
OL7299226A,Signe Johansen
OL7067988A,Lori Sandler
OL6751255A,Friederike Friedel
OL228155A,Helene Siegel
OL2896612A,Karen Gillingham
OL230279A,Marion Cunningham
OL6838803A,"KitchenAid, Inc"
OL7135379A,Lorena Novak Bull
OL395532A,Tami Deedrick
OL454295A,Eric Seltzer
OL3023731A,Sarah Randell
OL2928694A,Wilton Enterprises
OL2843404A,Jennifer Lindner McGlinn
OL6813455A,Kelli Bronski
OL7026556A,Miisa Mink
OL6873562A,Buddy Valastro
OL787133A,Susan Vernon Smith
OL2626804A,Tom Smith
OL6832212A,Daniel Stevens
OL5097575A,Ciril Hitz
OL29834A,Susan Saunders
OL2197693A,Margaret Rudkin
OL6444883A,Linda Edwards
OL6626505A,Duff Goldman
OL118814A,Ambrose Heath
OL162466A,Arthur Wellington Brayley
OL20754A,Anne F. Rockwell
OL2969517A,Nancy Morton
OL6822682A,Wesson Oil and Snowdrift Company
OL2004231A,Martha Ellen Katz
OL401659A,Kim Boyce
OL3137704A,Mark Hix
OL2850028A,Dee Leone
OL7304225A,Dunja Gulin
OL7077484A,Allyson Kramer
OL6782865A,Lara Ferroni
OL25091A,Susan Waggoner
OL3765642A,Anica Mrose Rissi
OL20521A,Lucy Cousins
OL5367460A,Tzippora Kreizman
OL5182230A,Shirley O. Corriher
OL5488102A,Lovina Eicher
OL44318A,Marguerite Patten
OL5464205A,M. Neira
OL4242549A,Maria Neira
OL4242550A,A. Wennberg
OL4473363A,British Museum
OL4894352A,Shahida.
OL4165340A,Pengzhan Li Zeng
OL6570169A,Cheese Board Collective.
OL6575658A,Xuexia Chen
OL2973845A,Hsueh-Hsia Chen
OL2973823A,Wei-Chuan Publishing
OL6565882A,Mutsuko Shimazu
OL6614882A,Kelly Rudnicki
OL6370245A,Pawel Gorecki
OL4222574A,Rosa Luengo
OL3211993A,Rocio Martinez
OL4197953A,Kena
OL158003A,John Gould
OL20981A,Dana Meachen Rau
OL6175649A,Lihua Lin
OL2973832A,Lee-Hwa Lin
OL5387042A,"International Industrial Ergonomics and Safety Conference (1993 Copenhagen, Denmark)"
OL6832296A,Tracey Corderoy
OL7109323A,Steven Lenton
OL7543550A,Ellen King
OL7522385A,Stella Parks
OL240269A,Ethel Footman Smothers
OL234934A,Maryann Macdonald
OL7518213A,Debbie Adler
OL7522617A,Lindsay Conchar
OL236624A,Sara Lewis
OL7534140A,Tara Jensen
OL7534142A,Jerrelle Guy
OL7538353A,Jordan Bourke
OL7535944A,Brittany Bennett
OL7529917A,Caroline Khoo
OL7592406A,Katie Deacon
OL7145240A,Yvonne Ruperti
OL7589737A,Kir Jensen
OL7599144A,Mary-Anne Boermans
OL6960996A,Yvette van Boven
OL7601534A,Jenni Hulet
OL7601535A,Brittany Angell
OL7310628A,Anna Staniszewski
OL3085575A,Marilynn Brass
OL1401428A,Evelyn Raab
OL2982072A,Roxanne Wyss
OL7068460A,Cheryl Day
OL2630800A,Genevieve Ko
OL7653306A,Giselle Courteau
OL3098579A,Tracey Zabar
OL7641577A,Griffith Day
OL7596291A,Zoe Nathan
OL7596313A,Charmian Christie
OL227170A,Mark Bittman
OL7596578A,Cara Reed
OL7596581A,Lee Anne Wong
OL7519941A,Anna Conrad
OL7616727A,Kevin MacAllister
OL7616728A,Ashley Wittig
OL7632428A,Erin Mylroie
OL7599147A,Molly Gilbert
OL7608553A,Tessa Huff
OL3236989A,Anika Denise
OL7528400A,Chetna Makan
OL7612742A,Alanna Taylor-Tobin
OL7323641A,Kate McMillan
OL3726710A,Alison Thompson
OL2629933A,Bette Laplante
OL2629934A,Diane Cuvelier
OL8355590A,Rachel Conners
OL227128A,Maria Bruscino Sanchez
OL7793664A,Bonnie Ohara
OL6871468A,Shalom Ḳadosh
OL1269577A,ʻAdah Kohen
OL221904A,Anissa Helou
OL2830797A,Gennaro Contaldo
OL904271A,Anonymous
OL8097204A,Sarah Rainey
OL7442739A,Laurel Randolph
OL8169193A,Martin Johansson
OL8104902A,Pillsbury Pillsbury Editors
OL7758428A,Preston Yancey
OL7596181A,Erin Gardner
OL2733131A,Stephanie Turnbull
OL239672A,Meredith McCarty
OL7798554A,Jana Douglass
OL7109177A,Shauna Sever
OL7324911A,Jojo Tulloh
OL7983050A,Apollonia Poilâne
OL7983051A,Philippe Santamaria
OL8049089A,Hollis Wilder
OL7324845A,Tina Rupp
OL2624356A,Clive Streeter
OL8008756A,"Drake, Angela (Home economist)"
OL8008757A,Teresa Goldfinch
OL7407616A,Christine France
OL7984627A,Amy-Beth Ellice
OL7667019A,Virginia Horstmann
OL7594699A,Kelsey Kinser
OL7655005A,Cheryl Wakerhauser
OL7670226A,Carine Goren
OL2798310A,Angela Drake
OL1424430A,Susannah Blake
OL7521745A,Hayley Parker
OL4637516A,Eric Mitchell
OL7037307A,Sarabeth Levine
OL7720871A,Janis Owens
OL7729329A,Ted Wolff
OL7597129A,Kamran Siddiqi
OL7604668A,Allison Waggoner
OL236691A,Greg Patent
OL7535514A,Jessie Sheehan
OL7529260A,Shannon Sarna
OL7543930A,Julia Konovalova
OL7303566A,Jeanne Sauvage
OL7106535A,Claire Ptak
OL6613305A,Hannah Miles
OL28810A,Lisa Snyder
OL3471107A,Kelly Smith
OL7087385A,Cecilia Vikbladh
OL3079149A,Karen Mitchell
OL7132537A,Carrie S. Forbes
OL6697273A,Celine Steen
OL462657A,Marilyn M. Moore
OL2624294A,Rachel Allen
OL529462A,Jane Kinderlehrer
OL12520852A,Great British Bake Off
OL6875939A,General Foods Corporation
OL576699A,Nancy Coffelt
OL577233A,Judith Choate
OL386354A,Jill Van Cleave
OL383586A,Teresa Layman
OL9295445A,Inc Randolph Mills
OL7347207A,Sarah Trivuncic
OL10056082A,The Great British Bake Off
OL3087229A,Patrice de Villiers
OL9798807A,Gail Reitano
OL7890637A,S.P. Cauvain
OL9722490A,L. S. Young
OL8333971A,Howard Middleton
OL9518527A,Jenny Burgesse
OL7697623A,Sherry Gore
OL3838135A,Henry Herbert
OL381867A,Carol Ryrie Brink
OL66576A,Patricia Mitchell
OL2643882A,Good Housekeeping Institute
OL2675827A,RH Disney
OL2644182A,Mary Contini
OL2675971A,Southern Living Magazine
OL2644291A,Amy Willcock
OL1754324A,Fawzeya Rizqallah
OL1962126A,Ursel Norman
OL1908040A,Sandra Takako Sandler
OL1870550A,Charles D. Wilford
OL1873042A,Gertrude Wilkinson
OL54791A,Martha Stewart
OL1655839A,Anita Borghese
OL1607627A,Caroline Barty
OL18435A,United States Department of War
OL2957791A,Helen Jerome
OL2292469A,Ralph M. Bohn
OL1765252A,Rose Cantrell
OL1864670A,Stella Standard
OL1780573A,Albert R. Daniel
OL2757341A,Regan Daley
OL2733269A,Andrea Beck
OL2754571A,Elizabeth Wolf Cohen
OL2763376A,Victoria Magazine
OL2763468A,From the Editors of Victoria Magazine
OL2747204A,Pillsbury
OL68968A,Sue Lawrence
OL2727286A,Better Homes and Gardens
OL2703802A,Macarena Salas
OL2270407A,Alexander Urie
OL1436335A,Avner Laskin
OL1427978A,Krystina Castella
OL1459349A,Jenny Partridge
OL1477067A,Loren Hodes
OL2940663A,Hachai Publishing
OL1520763A,Gerhard Jenne
OL1550841A,Lynn Kutner
OL7143399A,Alison Pray
OL242067A,Gillian Cross
OL75249A,Sybil Kapoor
OL7348888A,Matt Kadey
OL6510079A,Krista Davis
OL2793717A,Gino D'Acampo
OL239541A,Mark Teague
OL194621A,Rebecca Reilly
OL19862A,Lisa Papademetriou
OL19943A,Jonathan London
OL19580A,Gail Gibbons
OL23981A,Amy Krouse Rosenthal
OL6722310A,Denise Smart
OL6814254A,Kris Holechek
OL26671A,Elizabeth MacDonald
OL2705755A,Annamaria MacDonald
OL9158330A,Claire Smith
OL2727963A,Adriana Rabinovich
OL1460441A,Norah Smaridge
OL21315A,Carolyn Meyer
OL7122327A,Ken Forkish
OL187415A,Lela Nargi
OL6840112A,Culinary Institute of America
OL7008986A,Taste of Home Books
OL6832211A,Pam Corbin
OL6954293A,Jaclyn Sullivan
OL184882A,Carol Greene
OL5013405A,Pillsbury Company
OL2677510A,Diane B. Anderson
OL2677511A,Elaine Christiansen
OL7402132A,Lutz Geißler
OL8596984A,Björn Hollensteiner
OL978249A,Florence B. Jack
OL216762A,Kari Smalley Gibson
OL216278A,Sara Kasdan
OL7414304A,Shannon Grogan
OL2762090A,Sylvia Weinstock
OL1603276A,Kate Manchester
OL3093613A,Mayflower Culinary
OL225141A,Damon Lee Fowler
OL2927536A,Duncan Hines (company)
OL5211616A,Monika Schumacher
OL6028066A,Eleanor Kirk
OL7062589A,Ruth Walton
OL2368091A,Virginia Roberts
OL1074319A,"De Gouy, Louis Pullig"
OL1324393A,Anne Wilson
OL576626A,Deborah Krasner
OL3734242A,Mar'ce Merrell
OL7611302A,Ramla Khan
OL1435783A,Noga Hitron
OL815098A,Linda Young
OL4429255A,George Read
OL229493A,Judith Jones
OL5084433A,Barbara Beery
OL2733205A,Rebecca Gilpin
OL3315415A,Lloyd Moxon
OL3300789A,Donald Gazzaniga
OL3348598A,Amy Weingartner
OL3406542A,Cecilia Hinde
OL3386436A,Bonnie Raphael
OL2908671A,Stanley P Cauvain
OL3018295A,Janie Quinn
OL3018791A,Jean Pare
OL3165583A,Patrik Jaros
OL3068705A,The Eckert Family
OL3213353A,Qiongbai Liang
OL3109775A,Lorraine Johnson Coleman
OL3125888A,Sara Kate Gillingham-Ryan
OL3006347A,Rhodes Breads
OL3136903A,Felicity Foster
OL3086366A,Veronika Gunter
OL1741479A,Edna Staebler
